commodity,date,price
AHMEDNAGAR(MS),2006-06-01,165
AHMEDNAGAR(MS),2007-06-01,597
AHMEDNAGAR(MS),2009-06-01,533
AHMEDNAGAR(MS),2010-06-01,550
AHMEDNAGAR(MS),2012-06-01,375
AHMEDNAGAR(MS),2013-06-01,1100
AHMEDNAGAR(MS),2014-06-01,1325
AHMEDNAGAR(MS),2015-06-01,1450
AHMEDNAGAR(MS),2002-07-01,323
AHMEDNAGAR(MS),2003-07-01,325
AHMEDNAGAR(MS),2004-07-01,273
AHMEDNAGAR(MS),2005-07-01,338
AHMEDNAGAR(MS),2006-07-01,225
AHMEDNAGAR(MS),2007-07-01,599
AHMEDNAGAR(MS),2009-07-01,534
AHMEDNAGAR(MS),2010-07-01,573
AHMEDNAGAR(MS),2013-07-01,1495
AHMEDNAGAR(MS),2014-07-01,1453
AHMEDNAGAR(MS),2015-07-01,1525
AHMEDNAGAR(MS),2002-08-01,389
AHMEDNAGAR(MS),2003-08-01,357
AHMEDNAGAR(MS),2004-08-01,301
AHMEDNAGAR(MS),2005-08-01,592
AHMEDNAGAR(MS),2007-08-01,845
AHMEDNAGAR(MS),2009-08-01,528
AHMEDNAGAR(MS),2010-08-01,711
AHMEDNAGAR(MS),2013-08-01,3290
AHMEDNAGAR(MS),2014-08-01,1313
AHMEDNAGAR(MS),2015-08-01,4383
AHMEDNAGAR(MS),2001-09-01,346
AHMEDNAGAR(MS),2002-09-01,401
AHMEDNAGAR(MS),2003-09-01,387
AHMEDNAGAR(MS),2004-09-01,292
AHMEDNAGAR(MS),2005-09-01,723
AHMEDNAGAR(MS),2006-09-01,285
AHMEDNAGAR(MS),2007-09-01,1016
AHMEDNAGAR(MS),2008-09-01,495
AHMEDNAGAR(MS),2009-09-01,566
AHMEDNAGAR(MS),2010-09-01,1396
AHMEDNAGAR(MS),2013-09-01,2542
AHMEDNAGAR(MS),2014-09-01,1215
AHMEDNAGAR(MS),2015-09-01,4617
AHMEDNAGAR(MS),2001-10-01,367
AHMEDNAGAR(MS),2002-10-01,424
AHMEDNAGAR(MS),2003-10-01,590
AHMEDNAGAR(MS),2004-10-01,400
AHMEDNAGAR(MS),2005-10-01,909
AHMEDNAGAR(MS),2007-10-01,889
AHMEDNAGAR(MS),2008-10-01,550
AHMEDNAGAR(MS),2009-10-01,1159
AHMEDNAGAR(MS),2010-10-01,1271
AHMEDNAGAR(MS),2012-10-01,730
AHMEDNAGAR(MS),2013-10-01,2904
AHMEDNAGAR(MS),2014-10-01,1250
AHMEDNAGAR(MS),2015-10-01,3060
AHMEDNAGAR(MS),2001-11-01,488
AHMEDNAGAR(MS),2003-11-01,531
AHMEDNAGAR(MS),2004-11-01,295
AHMEDNAGAR(MS),2005-11-01,902
AHMEDNAGAR(MS),2006-11-01,382
AHMEDNAGAR(MS),2007-11-01,616
AHMEDNAGAR(MS),2008-11-01,1033
AHMEDNAGAR(MS),2009-11-01,1246
AHMEDNAGAR(MS),2010-11-01,1813
AHMEDNAGAR(MS),2012-11-01,993
AHMEDNAGAR(MS),2013-11-01,2198
AHMEDNAGAR(MS),2014-11-01,1146
AHMEDNAGAR(MS),2015-11-01,2200
AHMEDNAGAR(MS),2001-12-01,348
AHMEDNAGAR(MS),2003-12-01,593
AHMEDNAGAR(MS),2004-12-01,281
AHMEDNAGAR(MS),2005-12-01,399
AHMEDNAGAR(MS),2006-12-01,582
AHMEDNAGAR(MS),2007-12-01,483
AHMEDNAGAR(MS),2008-12-01,923
AHMEDNAGAR(MS),2009-12-01,1587
AHMEDNAGAR(MS),2010-12-01,3363
AHMEDNAGAR(MS),2011-12-01,425
AHMEDNAGAR(MS),2012-12-01,900
